Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python3.8, 2to3, -1,928.504699707031250000, 716.805847167968750000,  ,  , 34194, 57.5, 43996
Python3.8, 2to3, -1,937.243896484375000000, 724.066101074218750000,  ,  , 34202, 60.0, 43996
Python3.8, 2to3, -1,930.229003906250000000, 719.356079101562500000,  ,  , 34060, 60.0, 43996
Python3.8, 2to3, -1,934.497924804687500000, 721.181152343750000000,  ,  , 34219, 63.5, 43996
Python3.8, 2to3, -1,931.774353027343750000, 720.367980957031250000,  ,  , 34120, 59.5, 43992
Python3.10, 2to3, 2,984.145568847656250000, 3.106384277343750000,  ,  , 160543, 42.2, 43788
Python3.10, 2to3, 2,983.687988281250000000, 3.036987304687500000,  ,  , 160507, 42.0, 43916
Python3.10, 2to3, 2,983.373413085937500000, 2.977172851562500000,  ,  , 160484, 42.0, 43792
Python3.10, 2to3, 2,984.223083496093750000, 3.209533691406250000,  ,  , 160587, 41.2, 43796
Python3.10, 2to3, 2,983.115539550781250000, 3.119201660156250000,  ,  , 160428, 41.8, 43792
Python3.10, 2to3, 2,984.005249023437500000, 3.065795898437500000,  ,  , 160594, 41.5, 43792
Python3.10, 2to3, 2,984.770019531250000000, 3.236083984375000000,  ,  , 160721, 41.2, 43920
Python3.10, 2to3, 2,983.428283691406250000, 3.104492187500000000,  ,  , 160521, 41.2, 43796
Python3.10, 2to3, 2,983.710632324218750000, 3.169677734375000000,  ,  , 160547, 41.5, 43916
Python3.10, 2to3, 2,983.101074218750000000, 3.087951660156250000,  ,  , 160487, 41.5, 43876
Python3.7, 2to3, 2,1057.808837890625000000, 3.466125488281250000,  ,  , 172664, 41.2, 44928
Python3.7, 2to3, 2,1057.816284179687500000, 3.552673339843750000,  ,  , 172651, 40.8, 44804
Python3.7, 2to3, 2,1058.347290039062500000, 3.514160156250000000,  ,  , 172727, 41.2, 44932
Python3.7, 2to3, 2,1058.376586914062500000, 3.442932128906250000,  ,  , 172761, 41.2, 44932
Python3.7, 2to3, 2,1057.183654785156250000, 3.740417480468750000,  ,  , 172504, 41.0, 44932
Python3.7, 2to3, 2,1056.813415527343750000, 3.635192871093750000,  ,  , 172468, 41.5, 44928
Python3.7, 2to3, 2,1058.028503417968750000, 3.450744628906250000,  ,  , 172683, 41.0, 44928
Python3.7, 2to3, 2,1057.222290039062500000, 3.643737792968750000,  ,  , 172582, 41.0, 44800
Python3.7, 2to3, 2,1057.960205078125000000, 3.467590332031250000,  ,  , 172733, 41.0, 44876
Python3.7, 2to3, 2,1055.821533203125000000, 3.587341308593750000,  ,  , 172336, 41.0, 44932
Python3.8, 2to3, 2,1039.308166503906250000, 3.491821289062500000,  ,  , 169652, 40.5, 43992
Python3.8, 2to3, 2,1038.138977050781250000, 3.506164550781250000,  ,  , 169492, 41.0, 43992
Python3.8, 2to3, 2,1037.790100097656250000, 3.259277343750000000,  ,  , 169443, 41.2, 43992
Python3.8, 2to3, 2,1038.687133789062500000, 3.594116210937500000,  ,  , 169524, 40.8, 43956
Python3.8, 2to3, 2,1039.008666992187500000, 3.533142089843750000,  ,  , 169615, 41.2, 43996
Python3.8, 2to3, 2,1037.973632812500000000, 3.499084472656250000,  ,  , 169418, 41.2, 43992
Python3.8, 2to3, 2,1038.031921386718750000, 3.499206542968750000,  ,  , 169435, 41.0, 43996
Python3.8, 2to3, 2,1037.929870605468750000, 3.313903808593750000,  ,  , 169522, 41.2, 43984
Python3.8, 2to3, 2,1037.396850585937500000, 3.310546875000000000,  ,  , 169420, 41.2, 43996
Python3.8, 2to3, 2,1057.725769042968750000, 20.208618164062500000,  ,  , 169826, 41.0, 43996
Python3.10, 2to3, 5,982.997985839843750000, 3.020019531250000000,  ,  , 160608, 41.2, 43792
