Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, avrora,22,95.924682617187500000, 81.188720703125000000,  ,  ,4381, 65.1,141188
Java, avrora,22,95.827636718750000000, 81.087951660156250000,  ,  ,4392, 64.8,149984
Java, avrora,22,95.629272460937500000, 80.734680175781250000,  ,  ,4436, 65.5,137480
Java, avrora,22,95.022949218750000000, 80.353759765625000000,  ,  ,4366, 65.1,139652
Java, avrora,22,95.551818847656250000, 80.771972656250000000,  ,  ,4407, 65.2,140000
Java, avrora,22,95.008605957031250000, 80.311096191406250000,  ,  ,4378, 65.4,141312
Java, batik,-1,159.230346679687500000, 147.403747558593750000,  ,  ,3344, 42.8,565052
Java, batik,-1,159.198791503906250000, 147.404663085937500000,  ,  ,3351, 43.8,582944
Java, batik,-1,163.979248046875000000, 151.440551757812500000,  ,  ,3565, 44.4,580228
Java, batik,-1,157.783996582031250000, 145.724792480468750000,  ,  ,3414, 45.0,563464
Java, batik,-1,159.140625000000000000, 147.531799316406250000,  ,  ,3282, 45.5,559904
Java, batik,-1,98.937500000000000000, 81.407775878906250000,  ,  ,4955, 37.9,555608
Java, batik,-1,88.990539550781250000, 75.062622070312500000,  ,  ,4440, 39.5,551328
Java, batik,-1,149.953369140625000000, 143.417785644531250000,  ,  ,3472, 44.9,563784
Java, batik,-1,155.954467773437500000, 149.376953125000000000,  ,  ,3417, 44.9,572416
Java, batik,-1,148.223205566406250000, 141.729431152343750000,  ,  ,3364, 53.4,565696
Java, batik,5,65.048767089843750000, 45.867675781250000000,  ,  ,11254, 38.6,531700
Java, batik,5,61.122192382812500000, 43.017883300781250000,  ,  ,10869, 38.8,573600
Java, batik,5,63.705810546875000000, 44.562927246093750000,  ,  ,11544, 38.6,548436
Java, batik,5,60.414672851562500000, 42.716247558593750000,  ,  ,10612, 38.5,545124
Java, batik,5,59.378356933593750000, 41.748779296875000000,  ,  ,10621, 38.6,530940
Java, batik,5,60.514160156250000000, 42.783996582031250000,  ,  ,10644, 38.9,554252
Java, batik,5,59.835388183593750000, 42.405883789062500000,  ,  ,10429, 38.9,538048
Java, batik,5,60.546447753906250000, 42.756469726562500000,  ,  ,10654, 38.8,580940
Java, batik,5,60.752258300781250000, 42.851501464843750000,  ,  ,10721, 39.1,540680
Java, batik,5,60.759033203125000000, 42.916687011718750000,  ,  ,10716, 38.9,527084
Java, batik,10,65.591247558593750000, 54.217163085937500000,  ,  ,6580, 40.6,550844
Java, batik,10,65.525817871093750000, 54.114990234375000000,  ,  ,6578, 40.9,576268
Java, batik,10,67.991333007812500000, 56.107543945312500000,  ,  ,6840, 41.0,564864
Java, batik,10,67.792175292968750000, 55.993347167968750000,  ,  ,6808, 41.5,569556
Java, batik,10,67.212707519531250000, 55.480346679687500000,  ,  ,6757, 41.6,574376
Java, batik,10,65.856262207031250000, 54.377258300781250000,  ,  ,6631, 42.1,536364
Java, batik,10,67.073730468750000000, 55.388610839843750000,  ,  ,6743, 42.1,603564
Java, batik,10,64.553161621093750000, 53.356750488281250000,  ,  ,6486, 41.6,518752
Java, batik,10,66.985107421875000000, 55.316711425781250000,  ,  ,6733, 42.0,545860
Java, batik,10,66.113891601562500000, 54.595397949218750000,  ,  ,6646, 41.4,546888
